Setpoint,PID_Output,Planta_Output
48.00,0.57,48.15
48.00,0.57,48.15
48.00,0.57,48.14
48.00,0.58,48.14
48.00,0.58,48.13
48.00,0.58,48.13
48.00,0.58,48.13
48.00,0.60,48.12
48.00,0.60,48.12
48.00,0.60,48.11
48.00,0.60,48.11
48.00,0.60,48.11
48.00,0.60,48.10
48.00,0.62,48.10
48.00,0.62,48.09
48.00,0.63,48.09
48.00,0.63,48.09
48.00,0.62,48.08
48.00,0.62,48.08
48.00,0.64,48.07
48.00,0.64,48.07
48.00,0.64,48.07
48.00,0.64,48.07
48.00,0.65,48.06
48.00,0.65,48.06
48.00,0.66,48.05
48.00,0.66,48.05
48.00,0.66,48.05
48.00,0.66,48.04
48.00,0.67,48.04
48.00,0.67,48.04
48.00,0.67,48.04
48.00,0.67,48.03
48.00,0.68,48.03
48.00,0.68,48.02
48.00,0.69,48.02
48.00,0.69,48.02
48.00,0.69,48.02
48.00,0.69,48.01
48.00,0.70,48.01
48.00,0.70,48.01
48.00,0.70,48.00
48.00,0.70,48.00
48.00,0.70,48.00
48.00,0.70,47.99
48.00,0.71,47.99
48.00,0.71,47.99
48.00,0.71,47.99
48.00,0.71,47.98
48.00,0.73,47.98
48.00,0.73,47.98
48.00,0.73,47.97
48.00,0.73,47.97
48.00,0.73,47.97
48.00,0.73,47.97
48.00,0.74,47.96
48.00,0.74,47.96
48.00,0.74,47.96
48.00,0.74,47.96
48.00,0.75,47.96
48.00,0.75,47.95
48.00,0.76,47.95
48.00,0.76,47.95
48.00,0.76,47.95
48.00,0.76,47.94
48.00,0.77,47.94
48.00,0.77,47.94
48.00,0.77,47.93
48.00,0.77,47.93
48.00,0.77,47.93
48.00,0.77,47.93
48.00,0.78,47.93
48.00,0.78,47.92
48.00,0.78,47.92
48.00,0.78,47.92
48.00,0.79,47.92
48.00,0.79,47.92
48.00,0.80,47.91
48.00,0.80,47.91
48.00,0.80,47.91
48.00,0.80,47.91
48.00,0.81,47.91
48.00,0.81,47.90
48.00,0.81,47.90
48.00,0.81,47.90
48.00,0.82,47.90
48.00,0.82,47.90
48.00,0.82,47.89
48.00,0.82,47.89
48.00,0.82,47.89
